name,class
Acarospora_spec,Lecanoromycetidae
Agyrium_rufum,Ostropomycetidae
Arthonia_radiata,Arthoniomycetes
Aureobasidium_pullulans,Dothideomycetes
Botrytis_cinerea,Leotiomycetes
Capronia_coronata,Eurotiomycetes
Ceratocystis_platani,Sordariomycetes
Cetradonia_linearis,Lecanoromycetidae
Cladonia_grayi,Lecanoromycetidae
Cladonia_macilenta,Lecanoromycetidae
Cladonia_metacorallifera,Lecanoromycetidae
Cladonia_uncialis,Lecanoromycetidae
Cladophialophora_carrionii,Eurotiomycetes
Colletotrichum_graminicola,Sordariomycetes
Coniella_lustricola,Sordariomycetes
Coniochaeta_ligniaria,Sordariomycetes
Cyanodermella_asteris,Ostropomycetidae
Diaporthe_longicolla,Sordariomycetes
Dibaeis_baeomyces,Ostropomycetidae
Elaphomyces_granulatus,Eurotiomycetes
Endocarpon_pusillum,Eurotiomycetes
Epichloe_typhina,Sordariomycetes
Erysiphe_necator,Leotiomycetes
Evernia_prunastri,Lecanoromycetidae
Fonsecaea_erecta,Eurotiomycetes
Fusarium_oxysporum,Sordariomycetes
Gomphillus_americanus,Ostropomycetidae
Graphis_scripta,Ostropomycetidae
Gyalolechia_flavorubescens,Lecanoromycetidae
Helicocarpus_griseus,Eurotiomycetes
Hypocenomyce_scalaris,Lecanoromycetidae
Hypoxylon_pulicicidum,Sordariomycetes
Icmadophila_ericetorum,Ostropomycetidae
Knufia_petricola,Eurotiomycetes
Lambiella_insularis,Ostropomycetidae
Lasallia_hispanica,Lecanoromycetidae
Lasallia_pustulata,Lecanoromycetidae
Lecidea_scabridula,Ostropomycetidae
Lignoscripta_atroalba,Ostropomycetidae
Lobaria_immixta,Lecanoromycetidae
Loxospora_cismonica,Ostropomycetidae
Magnaporthe_grisea,Sordariomycetes
Malbranchea_cinnamomea,Eurotiomycetes
Monascus_purpureus,Eurotiomycetes
Mycoblastus_sanguinarius,Lecanoromycetidae
Onygena_corvina,Eurotiomycetes
Peltigera_leucophlebia,Lecanoromycetidae
Penicillium_chrysogenum,Eurotiomycetes
Phaeomoniella_chlamydospora,Eurotiomycetes
Phialophora_attae,Eurotiomycetes
Phyllosticta_citricarpa,Dothideomycetes
Podospora_anserina,Sordariomycetes
Pseudevernia_furfuracea,Lecanoromycetidae
Pseudocyphellaria_aurata,Lecanoromycetidae
Pseudophaeomoniella_oleicola,Eurotiomycetes
Ptychographa_xylographoides,Ostropomycetidae
Puttea_exsequens,Lecanoromycetidae
Ramalina_intermedia,Lecanoromycetidae
Ramalina_peruviana,Lecanoromycetidae
Schaereria_dolodes,Ostropomycetidae
Sordaria_macrospora,Sordariomycetes
Sticta_canariensis,Lecanoromycetidae
Stictis_urceolatum,Ostropomycetidae
Talaromyces_cellulolyticus,Eurotiomycetes
Thelotrema_lepadinum,Ostropomycetidae
Thermoascus_crustaceus,Eurotiomycetes
Thielaviopsis_musarum,Sordariomycetes
Toensbergia_leucococca,Lecanoromycetidae
Trapelia_coarctata,Ostropomycetidae
Trichoderma_reesei,Sordariomycetes
Umbilicaria_muehlenbergii,Lecanoromycetidae
Uncinocarpus_reesii,Eurotiomycetes
Varicellaria_rhodocarpa,Ostropomycetidae
Verticillium_dahliae,Sordariomycetes
Xylaria_grammica,Sordariomycetes
Xylographa_bjoerkii,Ostropomycetidae
Xylographa_carneopallida,Ostropomycetidae
Xylographa_opegraphella,Ostropomycetidae
Xylographa_pallens,Ostropomycetidae
Xylographa_parallela,Ostropomycetidae
Xylographa_soralifera,Ostropomycetidae
Xylographa_trunciseda,Ostropomycetidae
Xylographa_vitiligo,Ostropomycetidae
